,days,n,rb,rn,w,pph,ph,pp,k,pBrood,pHoney,pPollen,pEmpty
2,20,97,3,4,3971,0.8203,1.0683,0.9221,15.8909,0.934518519,0.000296296,0.000296296,0.064888889
3,20,80,3,3,2030,0.2686,1.0665,1.0021,16.109,0.919703704,0.000888889,0.008888889,0.070518519
4,20,82,3,1,3970,0.6597,1.0583,1.088,18.9735,0.817777778,0.008296296,0.01037037,0.163555556
5,20,66,2,4,1666,0.2434,0.9748,1.0274,13.5791,0.731851852,0.016888889,0.042666667,0.208592593
6,20,68,4,2,3933,0.637,1.07,0.9301,15.5435,0.79762963,0.001481481,0.003851852,0.197037037
7,20,104,4,4,1676,0.4895,0.988,0.9781,11.7651,0.945777778,0.001481481,0.004740741,0.048
8,20,87,3,3,1371,0.9399,0.9071,1.0824,18.2218,0.801185185,0.008888889,0.01037037,0.179555556
9,20,102,4,3,3800,0.7204,1.0112,0.9508,19.7208,0.93837037,0,0,0.06162963
10,20,89,2,4,3724,0.4472,1.0132,0.9601,8.1959,0.896296296,0,0.000888889,0.102814815
11,20,98,2,3,1584,0.7573,0.9194,0.9637,10.0877,0.871407407,0.005037037,0.005037037,0.118518519
12,20,73,3,3,3035,0.4364,0.9576,0.9465,18.8406,0.869925926,0.000296296,0.004740741,0.125037037
13,20,111,2,4,2372,0.8518,1.0085,1.0106,5.9113,0.957037037,0.001185185,0.000296296,0.041481481
14,20,95,4,1,1116,0.7595,1.0645,0.9156,11.1772,0.910222222,0.022222222,0.020148148,0.047407407
15,20,96,2,2,1011,0.6193,0.9753,1.0107,18.5716,0.95762963,0.003259259,0.004444444,0.034666667
16,20,76,2,1,3818,0.8457,0.9073,1.014,14.028,0.437037037,0.366222222,0.012444444,0.184296296
17,20,102,2,4,2155,0.8383,1.0916,0.9697,11.6935,0.933925926,0.000592593,0.001185185,0.064296296
18,20,89,3,3,3717,0.8894,1.0596,1.0704,12.7051,0.885037037,0,0.000296296,0.114666667
19,20,86,3,2,1587,0.375,0.9674,0.905,15.2934,0.897777778,0.002962963,0.015111111,0.084148148
20,20,81,3,2,1949,0.7801,1.0946,0.9405,17.5354,0.850962963,0.005333333,0.009777778,0.133925926
21,20,60,3,1,3075,0.2686,1.0054,1.0822,19.2707,0.766222222,0.01037037,0.045037037,0.17837037
22,20,84,2,2,2877,0.4292,0.9079,0.9361,15.448,0.684740741,0.148444444,0.012444444,0.15437037
23,20,85,3,3,1114,0.7121,0.9183,1.0195,10.8186,0.795851852,0.013037037,0.019555556,0.171555556
24,20,76,3,1,3079,0.3987,1.0786,0.9976,13.637,0.843851852,0.01037037,0.030222222,0.115555556
25,20,83,3,4,1170,0.2091,1.0997,1.0784,17.089,0.876740741,0.006222222,0.022518519,0.094518519
26,20,84,4,3,1824,0.3642,0.9601,0.903,15.7239,0.854222222,0.003851852,0.015407407,0.126518519
27,20,68,3,4,2199,0.4543,0.9755,1.0797,10.2376,0.792296296,0.007407407,0.011851852,0.188444444
28,20,98,3,1,3521,0.356,1.0751,1.0521,18.0992,0.851555556,0.007111111,0.018962963,0.12237037
29,20,102,2,4,3956,0.9991,1.0456,0.9577,9.9846,0.90637037,0,0.000296296,0.093333333
30,20,100,2,1,2193,0.9327,1.0054,0.9973,15.5551,0.876740741,0.01362963,0.015703704,0.093925926
31,20,68,4,1,2875,0.2032,1.0996,1.0921,10.728,0.761777778,0.015111111,0.043259259,0.179851852